Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Bill Goodykoontz,La La Land,Manchester by the Sea,Hell or High Water,Moonlight,Arrival,Hunt for the Wilderpeople,The Handmaiden,Weiner,The Wailing,Don't Think Twice
Melissa Anderson,Moonlight,Toni Erdmann,O.J.: Made in America,Happy Hour,Fort Buchanan,Born in Flames,Regrouping,"""An Early Clue to the New Direction: Queer Cinema Before Stonewall"" [survey]",The Ornithologist,Elle,Hermia & Helena
J. Hoberman,Three Screen Ray,O.J.: Made in America,Toni Erdmann,Kaili Blues,The Death of Louis XIV,Sieranevada,Austerlitz,The Witch,Demon,"""Walkers: Hollywood Afterlives in Art and Artifact"" [exhibition]"
James Quandt,Jean-Marie Straub and Daniele Huillèt [retrospective],From the Branches Drops the Withered Blossom [restored version],Sieranevada,The Death of Louis XIV,The Ornithologist,Ma' Rosa,Yourself and Yours,Neruda,Kékszakállú,As Without So Within
Amy Taubin,Bruce Conner: It's All True [retrospective],Moonlight,Toni Erdmann,Everything Else,I Am Not Your Negro,O.J.: Made in America,My Entire High School Sinking Into the Sea,Tempestad,Sand Storm,Command and Control
John Waters,Krisha,Tickled,Everybody Wants Some!!,Roar,Wiener-Dog,Elle,Julieta,Like Cattle Towards Glow,Valley of Love,A Quiet Passion
Olly Richards,Hunt for the Wilderpeople,Arrival,Love & Friendship,Your Name,Creed,Zootopia,Sing Street,Kubo and the Two Strings,Anomalisa,Victoria
Lindsey Bahr,La La Land,Manchester by the Sea,Jackie,Moonlight,The Red Turtle,20th Century Women,I Am Not Your Negro,"Hail, Caesar!",Certain Women,Sausage Party
Jake Coyle,Moonlight,Cameraperson,La La Land,I Am Not Your Negro,Sunset Song,American Honey,Manchester by the Sea,O.J.: Made in America,Hell or High Water,The Edge of Seventeen
Christopher Orr,Arrival,La La Land,Manchester by the Sea,Hell or High Water,The Lobster,Moonlight,The Handmaiden,Zootopia,O.J.: Made in America,Loving
Marjorie Baumgarten,Manchester by the Sea,Moonlight,La La Land,Elle,Nocturnal Animals,I Am Not Your Negro,Wiener-Dog,Paterson,Tower,Captain Fantastic
Steve Davis,Moonlight,Manchester by the Sea,La La Land,Hell or High Water,Green Room,Tower,The Handmaiden,Deadpool,Sing Street,Nocturnal Animals
Kimberley Jones,Moonlight,La La Land,20th Century Women,The Handmaiden,American Honey,The Lobster,Don't Think Twice,Aquarius,A Bigger Splash,Maggie's Plan
Josh Kupecki,La La Land,Manchester by the Sea,American Honey,The Lobster,The Handmaiden,Aquarius,The Wailing,Christine,Green Room,Captain Fantastic
Marc Savlov,La La Land,The Love Witch,Cameraperson,Tower,Gimme Danger,Kubo and the Two Strings,Little Sister,Arrival,American Honey,The Handmaiden
Mike D’Angelo,Toni Erdmann,"Right Now, Wrong Then",Manchester by the Sea,Tower,The Witch,Paterson,Author: The JT LeRoy Story,Indignation,London Road,Everybody Wants Some!!
A.A. Dowd,Manchester by the Sea,Moonlight,Paterson,Green Room,La La Land,The Handmaiden,Toni Erdmann,Louder Than Bombs,Hell or High Water,Don't Breathe
Jesse Hassenger,La La Land,American Honey,Green Room,Arrival,Manchester by the Sea,"Hail, Caesar!",Hell or High Water,The Fits,Everybody Wants Some!!,Sing Street
Noel Murray,Manchester by the Sea,The Handmaiden,La La Land,Moonlight,Green Room,Jackie,The Eyes of My Mother,Paterson,The Fits,Hell or High Water
Katie Rife,Moonlight,The Handmaiden,Arrival,Green Room,The Lobster,Silence,American Honey,Elle,Manchester by the Sea,Hell or High Water
Ignatiy Vishnevetsky,Elle,The Lobster,Midnight Special,Hell or High Water,Moonlight,Sully,Toni Erdmann,La La Land,Silence,Three
Staff,Moonlight,The Fits,Lemonade,Cemetery of Splendour,13th,The Nice Guys,The Witch,Arrival,Do Not Resist,Green Room
Nicholas Barber,La La Land,Anomalisa,Manchester by the Sea,Nocturnal Animals,Arrival,Toni Erdmann,The Founder,The Distinguished Citizen,Florence Foster Jenkins,Your Name
Siddhant Adlakha,Moonlight,The Fits,Manchester by the Sea,Toni Erdmann,The Salesman,Pete's Dragon,Lion,White Girl,Bad Black,Morris From America
Meredith Borders,The Edge of Seventeen,Moonlight,Hunt for the Wilderpeople,The Handmaiden,The Love Witch,The Invitation,La La Land,Green Room,"Hail, Caesar!",Sing Street
Evan Saathoff,Moonlight,Green Room,The Nice Guys,Swiss Army Man,Hunt for the Wilderpeople,The Autopsy of Jane Doe,Kubo and the Two Strings,Kill Zone 2,The Mermaid,Manchester by the Sea
Scott Wampler,La La Land,Swiss Army Man,Arrival,Green Room,The Witch,The Neon Demon,Hunt for the Wilderpeople,The Invitation,High-Rise,Popstar: Never Stop Never Stopping
Kaitlyn Booth,Moonlight,Kubo and the Two Strings,Loving,Captain America: Civil War,Rogue One: A Star Wars Story,Arrival,Zootopia,Star Trek Beyond,The Witch,Moana
Ty Burr,Moonlight,Paterson,Manchester by the Sea,O.J.: Made in America,Jackie,The Fits,La La Land,The Handmaiden,I Am Not Your Negro,Cameraperson
Stephen Schaefer,Manchester by the Sea,Florence Foster Jenkins,Fire at Sea,Patriots Day,Hacksaw Ridge,Hidden Figures,Toni Erdmann,Jackie,Hell or High Water,Moonlight
Alison Willmore,Toni Erdmann,Moonlight,Weiner,Mountains May Depart,Hell or High Water,Elle,Things to Come,O.J.: Made in America,The Edge of Seventeen,Manchester by the Sea
Staff,Toni Erdmann,Elle,The Neon Demon,Aquarius,Slack Bay,Julieta,Staying Vertical,La Loi de la jungle,Carol,Le bois dont les rêves sont faits
