Spotlight,Ex Machina,Inside Out,Room,It Follows,Mad Max: Fury Road,Brooklyn,Timbuktu,Carol,Me and Earl and the Dying Girl,,,,,,
The Assassin,The Guests,No Home Movie,Hard to Be a God,Mexico at Midnight (MOMA screening series),Cemetery of Splendor,Hamlet in the Rented World (A Fragment),Phoenix,Continuous Variation,The Walk,,,,,,
Labour in a Single Shot (shorts exhibition),"Visit, or Memories and Confessions",Bleak Street,Singularity,Neon Bull,Ashes,Michaël Borremans retrospective,Lost and Beautiful,Actua I,The Owners of Dixie,,,,,,
No Home Movie,The Knick (tv show),The Assassin,Luminous Intimacy: The Cinema of Nathaniel Dorsky and Jerome Hiler (retrospective),Experimenter,Amy,My Golden Days,Don’t Blink: Robert Frank,Carol,Mistress America,,,,,,
"Helmut Berger, Actor",Cinderella,The Forbidden Room,Tom at the Farm,Mad Max: Fury Road,Carol,The Diary of a Teenage Girl,Tangerine,Fly Colt Fly: Legend of the Barefoot Bandit,Love,,,,,,
Mad Max: Fury Road,Inside Out,Whiplash,Star Wars: The Force Awakens,Slow West,The Martian,Steve Jobs,Bridge of Spies,Mission: Impossible - Rogue Nation,Tangerines,,,,,,
Mad Max: Fury Road,Clouds of Sils Maria,Ex Machina,Tangerine,"Kumiko, The Treasure Hunter",Brooklyn,The Diary of a Teenage Girl,Carol,The Big Short,Spy,,,,,,
Carol,About Elly,Phoenix,Spotlight,Chi-Raq,Stray Dog,Anomalisa,Creed,45 Years,(tie) The Diary of a Teenage Girl,(tie) Testament of Youth,,,,,
Spotlight,The Martian,Mad Max: Fury Road,The Big Short,Sicario,Inside Out,The Revenant,Magic Mike XXL,Star Wars: The Force Awakens,Steve Jobs,,,,,,
Mad Max: Fury Road,Carol,Son of Saul,Spotlight,The Diary of a Teenage Girl,The Big Short,The Martian,Victoria,The Look of Silence,Chi-Raq,,,,,,
Son of Saul,Spotlight,Mad Max: Fury Road,Inside Out,Steve Jobs,Brooklyn,Amy,Carol,Listen to Me Marlon,Tangerine,,,,,,
Mad Max: Fury Road,Gett: The Trial of Viviane Amsalem,Inside Out,45 Years,Sleeping With Other People,Clouds of Sils Maria,Best of Enemies,The Diary of a Teenage Girl,Phoenix,James White,,,,,,
