Parasite,Once Upon a Time in Hollywood,Marriage Story,The Irishman,Portrait of a Lady on Fire,Uncut Gems,The Souvenir,The Farewell,The Last Black Man in San Francisco,Toy Story 4,,
La Flor,A Bigger Splash,Atlantics,Amazing Grace,Pain and Glory,Queen of Diamonds,Martin Eden,Gay USA,Toni Morrison: The Pieces I Am,(tie) Ad Astra -AND- Once Upon a Time in Hollywood,,
State Funeral,Martin Eden,Synonyms,The Sky Socialist: Environs and Out-Takes,[Jordan Belson: Paintings 1950-1965],48 War Movies,Ten Documentary Shorts by Vittorio De Seta,Charlie Says,Climax,Olivia,,
The White Album,Vitalina Varela,Beanpole,State Funeral,Collective,Bacurau,Heimat Is a Space in Time,Invisible Life,Fire Will Come,Nana,,
Honeyland,The Sky Socialist: Environs and Out-Takes,Parasite,The White Album,Give Me Liberty,Us,To the Ends of the Earth,High Flying Bird,Portrait of a Lady on Fire,(tie) Beanpole -AND- Martin Eden -AND- The Vast of Night,,
Climax,Joan of Arc,Once Upon a Time in Hollywood,Border,Amazing Grace,Hail Satan?,Pain and Glory,The Golden Glove,The Souvenir,Joker,,
Midsommar,Parasite,Promare,Pain and Glory,The Irishman,Alita: Battle Angel,Hustlers,Once Upon a Time in Hollywood,Dolemite Is My Name,Blinded by the Light,,
Once Upon a Time in Hollywood,Little Women,The Farewell,1917,Marriage Story,Maiden,Honey Boy,Parasite,Joker,The Nightingale,,
Portrait of a Lady on Fire,(tie) The Irishman -AND- Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Honeyland,Parasite,Marriage Story,Pain and Glory,Little Women,Once Upon a Time in Hollywood,The Last Black Man in San Francisco,Atlantics,,
Portrait of a Lady on Fire,The Souvenir,Parasite,Once Upon a Time in Hollywood,Uncut Gems,The Irishman,The Farewell,Ad Astra,Little Women,Marriage Story,,
Pain and Glory,Booksmart,The Lighthouse,Parasite,Apollo 11,Knock Down the House,The Peanut Butter Falcon,Terminator: Dark Fate,Uncut Gems,Little Women,,
The Last Black Man in San Francisco,Parasite,The Farewell,Little Women,Wild Nights With Emily,Hustlers,Honey Boy,Midsommar,Marriage Story,Ready or Not,,
Marriage Story,Pain and Glory,Once Upon a Time in Hollywood,Jojo Rabbit,An Elephant Sitting Still,Portrait of a Lady on Fire,Monos,Parasite,Waves,Woman at War,,
Parasite,Long Day's Journey Into Night,Marriage Story,Once Upon a Time in Hollywood,Booksmart,Little Women,Pain and Glory,Apollo 11,Us,Hustlers,,
Parasite,Marriage Story,Portrait of a Lady on Fire,I Lost My Body,Knives Out,Transit,Long Shot,Shadow,The Farewell,Queen & Slim,,
Monos,Parasite,Portrait of a Lady on Fire,Little Women,Her Smell,Wild Nights With Emily,Marriage Story,Dark Waters,Once Upon a Time in Hollywood,Climax,,
Uncut Gems,Portrait of a Lady on Fire,One Cut of the Dead,Honeyland,The Nightingale,The Perfection,Parasite,The Farewell,Dragged Across Concrete,Hagazussa,,
Monos,Parasite,Tigers Are Not Afraid,Once Upon a Time in Hollywood,Raise Hell: The Life and Times of Molly Ivins,One Cut of the Dead,Starfish,Booksmart,Jojo Rabbit,Ready or Not,,
The Souvenir,Waves,Avengers: Endgame,Once Upon a Time in Hollywood,Parasite,The Last Black Man in San Francisco,The Farewell,Uncut Gems,1917,One Cut of the Dead,,
High Life,Marriage Story,Her Smell,The Irishman,Once Upon a Time in Hollywood,Uncut Gems,Under the Silver Lake,The Mountain,The Lighthouse,Parasite,,
Knives Out,In My Room,Under the Silver Lake,Light of My Life,Uncut Gems,First Love,Sunset,Shadow,Once Upon a Time in Hollywood,High Flying Bird,,
Marriage Story,The Irishman,The Nightingale,Transit,Portrait of a Lady on Fire,Parasite,Long Day's Journey Into Night,Monos,Knives Out,Climax,,
Asako 1+2,An Elephant Sitting Still,Transit,A Hidden Life,Her Smell,Climax,Our Time,In My Room,Grass,Belmonte,,
The Irishman,High Flying Bird,Once Upon a Time in Hollywood,Little Women,The Last Black Man in San Francisco,A Beautiful Day in the Neighborhood,Hustlers,Parasite,Her Smell,The Farewell,,
Once Upon a Time in Hollywood,Under the Silver Lake,The Irishman,Parasite,Marriage Story,Uncut Gems,The Last Black Man in San Francisco,Knives Out,Slut in a Good Way,Us,,
Her Smell,Ash Is Purest White,Asako 1+2,Marriage Story,Transit,Uncut Gems,The Souvenir,Portrait of a Lady on Fire,High Life,Sunset,,
Parasite,Once Upon a Time in Hollywood,Uncut Gems,Marriage Story,Portrait of a Lady on Fire,Little Women,The Farewell,The Irishman,Knives Out,Us,,
Once Upon a Time in Hollywood,Transit,The Irishman,Under the Silver Lake,Uncut Gems,Parasite,Give Me Liberty,In My Room,The Souvenir,Asako 1+2,,
Parasite,Little Women,Once Upon a Time in Hollywood,Portrait of a Lady on Fire,The Irishman,The Farewell,Hustlers,High Life,Knives Out,Marriage Story,,
Portrait of a Lady on Fire,Her Smell,Little Women,The Last Black Man in San Francisco,The Farewell,Parasite,Booksmart,Wild Rose,Once Upon a Time in Hollywood,Marriage Story,,
Uncut Gems,The Irishman,Her Smell,Once Upon a Time in Hollywood,Transit,Ad Astra,Under the Silver Lake,High Life,Us,Ash Is Purest White,,
Parasite,I Lost My Body,Once Upon a Time in Hollywood,The Last Black Man in San Francisco,The Farewell,Invisible Life,Us,Booksmart,Ad Astra,Monos,,
Once Upon a Time in Hollywood,The Irishman,Parasite,Portrait of a Lady on Fire,Uncut Gems,Marriage Story,Jojo Rabbit,Honeyland,The Souvenir,1917,,
Knives Out,Jojo Rabbit,Ready or Not,Avengers: Endgame,Hustlers,Us,John Wick: Chapter 3 - Parabellum,Parasite,Midsommar,Booksmart,,
Uncut Gems,Once Upon a Time in Hollywood,A Beautiful Day in the Neighborhood,Her Smell,Midsommar,The Golden Glove,The Souvenir,The Lighthouse,Parasite,Hustlers,,
Knives Out,The Lighthouse,Us,Uncut Gems,The Nightingale,The Dead Don't Die,The Farewell,Booksmart,Doctor Sleep,The Art of Self-Defense,,
Once Upon a Time in Hollywood,Uncut Gems,Doctor Sleep,Dolemite Is My Name,The Art of Self-Defense,The Last Black Man in San Francisco,The Peanut Butter Falcon,Rocketman,Nobadi,Avengers: Endgame,,
Jojo Rabbit,Portrait of a Lady on Fire,A Beautiful Day in the Neighborhood,Once Upon a Time in Hollywood,Parasite,Rocketman,John Wick: Chapter 3 - Parabellum,Charlie Says,The Souvenir,The Dead Don't Die,,
Parasite,Uncut Gems,Once Upon a Time in Hollywood,Her Smell,The Souvenir,Holiday,Doctor Sleep,Slut in a Good Way,Atlantics,Climax,,
Swallow,Wild Rose,Parasite,The Lodge,Knives Out,The Twentieth Century,Marriage Story,Midsommar,The Art of Self-Defense,Blood And Flesh: The Reel Life And Ghastly Death Of Al Adamson,,
