Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,,,,,,,,,,,,
Bill Goodykoontz,The Descendants,The Artist,50/50,Martha Marcy May Marlene,Take Shelter,Margin Call,The Tree of Life,Melancholia,Win Win,Moneyball ,,,,,,,,,,,,
David Germain,The Artist,"Tinker, Tailor, Soldier, Spy",Hugo,Le Havre,The Girl with the Dragon Tattoo,50/50,Submarine,The Help,Trollhunter,The Muppets,,,,,,,,,,,,
Christy Lemire,Martha Marcy May Marlene,50/50,The Myth of the American Sleepover,The Tree of Life,Bellflower,Melancholia,Take Shelter,Hell and Back Again,Beginners,Bridesmaids,,,,,,,,,,,,
Richard Lawson,Cedar Rapids,Drive,Hanna,Incendies,Like Crazy,Super 8,Take Shelter,The Tree of Life,War Horse,Weekend ,,,,,,,,,,,,
Marjorie Baumgarten,Melancholia,13 Assassins,A Separation,Le Quattro Volte,Hugo,Midnight in Paris,Moneyball,Attack the Block,Rango,The Tree of Life,,,,,,,,,,,,
Kimberley Jones,Beginners,Melancholia,Weekend,Shame,Bridesmaids,Drive,The Trip,Bellflower,"Tinker, Tailor, Soldier, Spy",Meek's Cutoff,,,,,,,,,,,,
Marc Savlov,Melancholia,Shame,Martha Marcy May Marlene,Bellflower,The Tree of Life,Knuckle,The Last Circus,Attack the Block,Take Shelter,The Artist,,,,,,,,,,,,
Sam Adams,The Future,Certified Copy,Carnage,"Tinker, Tailor, Soldier, Spy",Higher Ground,The Tree of Life,Meek's Cutoff,The Skin I Live In,The Interrupters,Submarine ,,,,,,,,,,,,
Noel Murray,Martha Marcy May Marlene,Hugo,A Separation,The Future,Weekend,Tabloid,Certified Copy,Terri,The Tree of Life,Rango ,,,,,,,,,,,,
Keith Phipps,Certified Copy,The Tree of Life,War Horse,Martha Marcy May Marlene,A Separation,Hugo,Meek's Cutoff,The Skin I Live In,Tyrannosaur,"Tinker, Tailor, Soldier, Spy ",,,,,,,,,,,,
Nathan Rabin,The Tree of Life,Martha Marcy May Marlene,Submarine,Drive,Young Adult,Project Nim,A Separation,Meek's Cutoff,Certified Copy,Win Win ,,,,,,,,,,,,
Tasha Robinson,The Tree of Life,Drive,Another Earth,The Skin I Live In,Being Elmo: A Puppeteer's Journey,Beginners,The Interrupters,Certified Copy,The Future,Amigo ,,,,,,,,,,,,
Scott Tobias,Meek's Cutoff,Certified Copy,A Separation,The Tree of Life,Uncle Boonmee Who Can Recall His Past Lives,Martha Marcy May Marlene,Drive,Weekend,Margaret,The Arbor ,,,,,,,,,,,,
Alison Willmore,Melancholia,A Separation,Into the Abyss,Take Shelter,Margaret,The Tree of Life,Certified Copy,The Arbor,Warrior,Shame ,,,,,,,,,,,,
Sasha Stone,Hugo,The Girl with the Dragon Tattoo,Rise of the Planet of the Apes,Project Nim,Moneyball,Shame,The Descendants,The Artist,We Need to Talk About Kevin,Margin Call,Attack the Block ,,,,,,,,,,,
