Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,,,,,,
Bill Goodykoontz,12 Years a Slave,Her,Stories We Tell,Gravity,American Hustle,Enough Said,The Act of Killing,The Wolf of Wall Street,Upstream Color,Dallas Buyers Club,,,,,,
Jake Coyle,12 Years a Slave,Mud,Frances Ha,Inside Llewyn Davis,The Hunt,The Great Beauty,Gravity,Blue Is the Warmest Color,This Is the End,(tie) The Spectacular Now AND Short Term 12,,,,,,
Christopher Orr,Her,12 Years a Slave,Short Term 12,The Wolf of Wall Street,Captain Phillips,Gravity,All Is Lost,Dallas Buyers Club,American Hustle,Rush,,,,,,
Marjorie Baumgarten,Her,12 Years a Slave,Before Midnight,Gravity,Inside Llewyn Davis,All Is Lost,The Past,Lone Survivor,August: Osage County,The Wolf of Wall Street,,,,,,
Steve Davis,12 Years a Slave,Gravity,All Is Lost,Her,Ain't Them Bodies Saints,Much Ado About Nothing,American Hustle,Inside Llewyn Davis,Mud,20 Feet From Stardom,,,,,,
Kimberley Jones,Her,12 Years a Slave,Before Midnight,Inside Llewyn Davis,Short Term 12,American Hustle,Frances Ha,The Past,Warm Bodies,Prince Avalanche,,,,,,
Marc Savlov,Her,The Act of Killing,The Punk Singer,All Is Lost,12 Years a Slave,Harry Dean Stanton: Partly Fiction,American Mary,The Wind Rises,Ain't Them Bodies Saints,Blue Is the Warmest Color,,,,,,
Sam Adams,Upstream Color,12 Years a Slave,No,Room 237,The Spectacular Now,Before Midnight,The Wolf of Wall Street,The Act of Killing,Berberian Sound Studio,Crystal Fairy,,,,,,
Mike D'Angelo,Frances Ha,First Cousin Once Removed,Computer Chess,The Counselor,Upstream Color,All Is Lost,The Past,You Ain't Seen Nothin' Yet,Leviathan,Drug War,,,,,,
A.A. Dowd,Her,Before Midnight,Leviathan,Frances Ha,Upstream Color,12 Years a Slave,The Act of Killing,Room 237,Beyond the Hills,American Hustle,,,,,,
Ben Kenigsberg,At Berkeley,The Wolf of Wall Street,Computer Chess,Spring Breakers,Leviathan,Frances Ha,Beyond the Hills,Inside Llewyn Davis,Blue Is the Warmest Color,12 Years a Slave,,,,,,
Scott MacDonald,12 Years a Slave,Blue Is the Warmest Color,Caesar Must Die,Philomena,Frances Ha,Prince Avalanche,No,Before Midnight,Let the Fire Burn,Gravity,,,,,,
Nick Schager,The Act of Killing,Before Midnight,The Past,The Invisible Woman,Inside Llewyn Davis,The World's End,Post Tenebras Lux,Room 237,At Berkeley,The Lords of Salem,,,,,,
Ignatiy Vishnevetsky,Computer Chess,A Touch of Sin,Her,Pain & Gain,The Unspeakable Act,Leviathan,Faust,The Act of Killing,The World's End,Drug War,,,,,,
Sasha Stone,The Wolf of Wall Street,12 Years a Slave,Inside Llewyn Davis,Gravity,Nebraska,Her,All Is Lost,Captain Phillips,Fruitvale Station,Stories We Tell,,,,,,
Tom Brook,12 Years a Slave,Her,Gravity,Saving Mr. Banks,Nebraska,Manakamana,The Past,Blue Jasmine,American Hustle,A Touch of Sin,,,,,,
Ty Burr,Her,12 Years a Slave,All Is Lost,Before Midnight,The Act of Killing,Stories We Tell,Nebraska,Spring Breakers,The Great Beauty,Short Term 12,,,,,,
Stephen Schaefer,The Wolf of Wall Street,12 Years a Slave,Trance,Rush,Lone Survivor,All Is Lost,Blackfish,The Attack,Dallas Buyers Club,The Heat,The Way Way Back,,,,,
J.R. Jones,The Act of Killing,Amour,Neighboring Sounds,A Touch of Sin,12 Years a Slave,Let the Fire Burn,Dirty Wars,Lore,The Missing Picture,American Hustle,,,,,,
Ben Sachs,At Berkeley,Paradise: Faith,Paradise: Hope,Computer Chess,A Touch of Sin,I'm So Excited,Stray Dogs,Tabu,Drug War,Gravity,You Ain't Seen Nothin' Yet,,,,,
Richard Roeper,American Hustle,Out of the Furnace,Mud,Gravity,The Spectacular Now,Captain Phillips,Nebraska,All Is Lost,12 Years a Slave,The Counselor,,,,,,
Michael Phillips,Her,12 Years a Slave,Consuming Spirits,Stories We Tell,Fruitvale Station,American Hustle,Post Tenebras Lux,Inside Llewyn Davis,Let the Fire Burn,The Gatekeepers,,,,,,
Peter Rainer,Before Midnight,At Berkeley,Fill the Void,These Birds Walk,Inside Llewyn Davis,Caesar Must Die,Her,20 Feet From Stardom,Ernest and Celestine,What Maisie Knew,,,,,,
James Rocchi,Upstream Color,12 Years a Slave,The Act of Killing,In a World…,Her,After Tiller,Dallas Buyers Club,The Attack,The Spectacular Now,Sightseers,,,,,,
Clint O'Connor,Gravity,Her,Lone Survivor,Don Jon,Fruitvale Station,Blue Is the Warmest Color,12 Years a Slave,Blue Jasmine,Out of the Furnace,All Is Lost,,,,,,
The Daily Beast,Her,Gravity,Blue Is the Warmest Color,American Hustle,Before Midnight,12 Years a Slave,Inside Llewyn Davis,Spring Breakers,Nebraska,The Spectacular Now,,,,,,
Chris Vognar,Gravity,12 Years a Slave,The Great Beauty,Nebraska,Stories We Tell,Inside Llewyn Davis,The Hunt,Before Midnight,Blue Jasmine,Blue Is the Warmest Color,,,,,,
Den of Geek,Gravity,The World's End,The Hunger Games: Catching Fire,Before Midnight,Iron Man 3,Pacific Rim,The Way Way Back,Stoker,The Place Beyond the Pines,Frozen,,,,,,
Lisa Kennedy,12 Years a Slave,Inside Llewyn Davis,Gravity,American Hustle,Her,Dallas Buyers Club,Before Midnight,Captain Phillips,Stories We Tell,The Place Beyond the Pines,,,,,,
Genevieve Koski,Her,Gravity,All Is Lost,The World's End,12 Years a Slave,Short Term 12,Frances Ha,The Act of Killing,Captain Phillips,Blackfish,,,,,,
Noel Murray,Frances Ha,Inside Llewyn Davis,12 Years a Slave,The Wind Rises,In the House,All Is Lost,Gravity,Upstream Color,Computer Chess,Her,,,,,,
Keith Phipps,12 Years a Slave,Inside Llewyn Davis,Her,Gravity,Upstream Color,Blue Is the Warmest Color,All Is Lost,The Act of Killing,Frances Ha,Nebraska,,,,,,
Nathan Rabin,Her,Short Term 12,Inside Llewyn Davis,The Act of Killing,12 Years a Slave,Frances Ha,The World's End,The Wolf of Wall Street,Nebraska,Stories We Tell,,,,,,
Tasha Robinson,Short Term 12,The Act of Killing,Her,Stories We Tell,12 Years a Slave,Inside Llewyn Davis,A Hijacking,Blue Caprice,Gravity,Upstream Color,,,,,,
Matt Singer,Short Term 12,Her,The Wind Rises,Inside Llewyn Davis,Captain Phillips,The World's End,Stories We Tell,Frances Ha,12 Years a Slave,The Bling Ring,,,,,,
Scott Tobias,Her,Upstream Color,Inside Llewyn Davis,Computer Chess,Before Midnight,Blue Is the Warmest Color,The Wolf of Wall Street,Nebraska,The Act of Killing,12 Years a Slave,,,,,,
Empire,Gravity,Captain Phillips,Rush,Mud,Lincoln,Stoker,Iron Man 3,Before Midnight,The Great Beauty,Alan Partridge: Alpha Papa,,,,,,
Owen Gleiberman,12 Years a Slave,American Hustle,Before Midnight,Fruitvale Station,Gravity,Blue Jasmine,The Past,World War Z,Prisoners,Inside Llewyn Davis,,,,,,
Chris Nashawaty,Before Midnight,Gravity,12 Years a Slave,Fruitvale Station,Captain Phillips,Enough Said,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Out of the Furnace,All Is Lost,The Conjuring,,,,,,
David Sexton,Nebraska,Gravity,The Act of Killing,Before Midnight,The Great Beauty,Blue Jasmine,Enough Said,Behind the Candelabra,Django Unchained,Philomena,,,,,,
David Ehrlich,Before Midnight,The Wind Rises,Inside Llewyn Davis,12 Years a Slave,The Grandmaster,Spring Breakers,At Berkeley,A Touch of Sin,Leviathan,Post Tenebras Lux,,,,,,
Film School Rejects,Inside Llewyn Davis,12 Years a Slave,Short Term 12,Her,Gravity,Upstream Color,The Wolf of Wall Street,Frances Ha,Stories We Tell,Pacific Rim,,,,,,
Wesley Morris,12 Years a Slave,The Wolf of Wall Street,The Act of Killing,Terrafirma,Post Tenebras Lux,A Touch of Sin,The Great Beauty,Gravity,This Is the End,Let the Fire Burn,,,,,,
The Guardian,The Act of Killing,The Great Beauty,Behind the Candelabra,Gravity,Django Unchained,Before Midnight,For Ellen,Only God Forgives,I Wish,Wadjda,,,,,,
Todd McCarthy,Inside Llewyn Davis,Her,Gravity,Frances Ha,American Hustle,Dallas Buyers Club,The Wolf of Wall Street,Short Term 12,Leviathan,Nebraska,,,,,,
Scott Feinberg,Gravity,Short Term 12,Inside Llewyn Davis,The Wolf of Wall Street,12 Years a Slave,Blue Is the Warmest Color,All Is Lost,The Hunt,20 Feet From Stardom,Gimme the Loot,,,,,,
Mike Ryan,American Hustle,Gravity,Inside Llewyn Davis,Before Midnight,Captain Phillips,12 Years a Slave,The Spectacular Now,Short Term 12,Nebraska,Frances Ha,,,,,,
Gregory Ellwood,Gravity,Under the Skin,12 Years a Slave,Inside Llewyn Davis,Stories We Tell,Spring Breakers,Stranger By The Lake,The Spectacular Now,Her,Dallas Buyers Club,,,,,,
Guy Lodge,Gravity,The Selfish Giant,Under the Skin,The Immigrant,Mother of George,Child's Pose,Tom at the Farm,Frances Ha,Blue Is the Warmest Color,The Heat,,,,,,
Kristopher Tapley,Gravity,Mud,Inside Llewyn Davis,Before Midnight,This Is the End,The Place Beyond the Pines,All Is Lost,Spring Breakers,Nebraska,Out of the Furnace,,,,,,
