Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,
Jake Coyle,Ida,Boyhood,The Grand Budapest Hotel,Birdman or (The Unexpected Virtue of Ignorance) AND Mr. Turner,Interstellar,Inherent Vice,The Immigrant,Under the Skin,Leviathan,Starred Up,
Jocelyn Noveck,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),Selma,Ida,Mr. Turner,The Grand Budapest Hotel,Whiplash,The Imitation Game AND The Theory of Everything,Foxcatcher,Get on Up AND Still Alice,
Bill Goodykoontz,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),The Grand Budapest Hotel,Guardians of the Galaxy,Whiplash,The LEGO Movie,Ida,Under the Skin,A Most Violent Year,Frank,
J. Hoberman,Goodbye to Language,Inherent Vice,Ida,The Americans [TV series],Under the Skin,The Marx Brothers TV Collection [DVD box set],Farbe,Snowpiercer,The Congress,Maps to the Stars,
James Quandt,Goodbye to Language,Amour Fou,Horse Money,Das Spektrum Europas,Hill of Freedom,Jauja,The Tribe,Timbuktu,Above and Below the Minhocão,August Winds,
Amy Taubin,Goodbye to Language,Boyhood,Whiplash,Dreams Are Colder Than Death,Tales of the Grim Sleeper,Timbuktu,Level Five,White God,Stand Clear of the Closing Doors,The Knick [TV series],
Christopher Orr,A Most Violent Year,Selma,Birdman or (The Unexpected Virtue of Ignorance),The Grand Budapest Hotel,The Imitation Game,Boyhood,Gone Girl,Ida,Locke,Noah,
Marjorie Baumgarten,Boyhood,Birdman or (The Unexpected Virtue of Ignorance),Ida,Citizenfour,Locke,Only Lovers Left Alive,The Babadook,Force Majeure,We Are the Best!,Snowpiercer,
Steve Davis,Boyhood,Whiplash,The LEGO Movie,Birdman or (The Unexpected Virtue of Ignorance),The Grand Budapest Hotel,Gone Girl,Jodorowsky's Dune,The Babadook,Begin Again,The Trip to Italy,
William Goss,Boyhood,Blue Ruin,The Babadook,Gone Girl,Selma,The LEGO Movie,Citizenfour,Under the Skin,Force Majeure,Whiplash,
Kimberley Jones,Force Majeure,The Grand Budapest Hotel,Birdman or (The Unexpected Virtue of Ignorance),Snowpiercer,Inherent Vice,Mr. Turner,A Most Violent Year,We Are the Best!,The Immigrant,Guardians of the Galaxy,
Josh Kupecki,Force Majeure,Birdman or (The Unexpected Virtue of Ignorance),The Grand Budapest Hotel,Only Lovers Left Alive,Borgman,Under the Skin,Locke,We Are the Best!,Nightcrawler,Maps to the Stars,
Marc Savlov,Boyhood,Only Lovers Left Alive,A Girl Walks Home Alone at Night,Citizenfour,The Babadook,Snowpiercer,The Imitation Game,Jodorowsky's Dune,We Are the Best!,Why Don't You Play in Hell?,
Mike D'Angelo,"Two Days, One Night",Coherence,Bird People,Under the Skin,The Grand Budapest Hotel,Boyhood,Last Days in Vietnam,Proxy,The Missing Picture,Snowpiercer,
A.A. Dowd,Boyhood,Whiplash,The Strange Little Cat,"Two Days, One Night",Stray Dogs,Under the Skin,Force Majeure,Blue Ruin,Gone Girl,The Missing Picture,
Jesse Hassenger,The Grand Budapest Hotel,God Help the Girl,Muppets Most Wanted,We Are the Best!,Under the Skin,Boyhood,Whiplash,Edge of Tomorrow,Interstellar,Joe,
Ben Kenigsberg,Inherent Vice,Boyhood,"Two Days, One Night",Gone Girl,The Strange Little Cat,Goodbye to Language,The Last of the Unjust,Whiplash,The Immigrant,Interstellar,
Nick Schager,Mr. Turner,National Gallery,Winter Sleep,Gone Girl,A Field in England,"Two Days, One Night",Under the Skin,Only Lovers Left Alive,Force Majeure,A Girl Walks Home Alone at Night,
