Da 5 Bloods,Nomadland,Lovers Rock,The Trial of the Chicago 7,First Cow,Mank,Never Rarely Sometimes Always,Minari,Ma Rainey's Black Bottom,Tenet,,,,,,,,,,
I'm Thinking of Ending Things,First Cow,Never Rarely Sometimes Always,Soul,Beastie Boys Story,Da 5 Bloods,The Trial of the Chicago 7,Ma Rainey's Black Bottom,Relic,Boys State,,,,,,,,,,
Nomadland,Minari,Driveways,Sound of Metal,First Cow,Saint Frances,I'm Thinking of Ending Things,Collective,Never Rarely Sometimes Always,The Assistant,,,,,,,,,,
"(tie) ""Defiant Muses"" / ""Out of the Shadows""",The Year of the Discovery,Days,Route One/USA,First Cow,Apiyemiyekî?,(Forum 50 Anniversary Program),The Works and Days,"Malni - Towards The Ocean, Towards The Shore",La Loupe,,,,,,,,,,
Shakedown,Beau Travail (re-release),Fourteen,The Assistant,Advocate,Empty Metal,Uncut Gems,Harriet,The Hottest August,Atlantics,,,,,,,,,,
The Woman Who Ran,Days,The Year of the Discovery,Xiao Wu,A Night at the Opera,The Monopoly of Violence,Malmkrog,Notturno,While Cursed by Specters,Gunda,,,,,,,,,,
"(The handy, affordable-to-everyone moving-image camera)",I May Destroy You (HBO),Preparations to Be Together for an Unknown Period of Time,Time,America,Gunda,Never Rarely Sometimes Always,Tesla,David Byrne's American Utopia,Da 5 Bloods,The Monopoly of Violence,MLK/FBI,Collective,Coded Bias,,,,,,
Butt Boy,Swallow,The Hunt,Why Don't You Just Die!,The Audition,Deerskin,The Human Voice,True History of the Kelly Gang,American Muder: The Family Next Door,Mangrove,The Trial of the Chicago 7,,,,,,,,,
Da 5 Bloods,On-Gaku: Our Sound,Shirley,Palm Springs,The Invisible Man,Ma Rainey's Black Bottom,Hamilton,A Secret Love,The Godfather Coda,First Cow,,,,,,,,,,
Nomadland,Kajillionaire,Lovers Rock,Collective,Mank,On the Rocks,Tenet,Never Rarely Sometimes Always,Promising Young Woman,Eurovision: The Story of Fire Saga,,,,,,,,,,
First Cow,Small Axe,Mank,Dick Johnson Is Dead,Minari,David Byrne's American Utopia,Never Rarely Sometimes Always,Soul,Collective,Sound of Metal,,,,,,,,,,
First Cow,Lovers Rock,The Nest,I'm Thinking of Ending Things,Mank,Nomadland,Bacurau,Tenet,Never Rarely Sometimes Always,Da 5 Bloods,,,,,,,,,,
And Then We Danced,Time,Dick Johnson Is Dead,Nomadland,"Yes, God, Yes",Minari,What the Constitution Means to Me,Promising Young Woman,Da 5 Bloods,Extra Ordinary,,,,,,,,,,
Never Rarely Sometimes Always,First Cow,Lovers Rock,Mangrove,David Byrne's American Utopia,Borat Subsequent Moviefilm,City Hall,Da 5 Bloods,One Night in Miami,Nomadland,,,,,,,,,,
Mank,Nomadland,Black Bear,Dick Johnson Is Dead,Emma,Never Rarely Sometimes Always,My Octopus Teacher,I'm Thinking of Ending Things,David Byrne's American Utopia,Possessor Uncut,,,,,,,,,,
City Hall,Collective,First Cow,Kajillionaire,Possessor Uncut,Beanpole,Swallow,The Whistlers,The Assistant,"Bloody Nose, Empty Pockets",,,,,,,,,,
The Lodge,Emma,Fourteen,Relic,Gamemaster,Mephisto [restoration],Detention,Gretel & Hansel,The Old Guard,The New Mutants,,,,,,,,,,
Fallen Angels [restoration],Undine,First Cow,I'm Thinking of Ending Things,Bacurau,Nomadland,Lovers Rock,Minari,Another Round,The Woman Who Ran,,,,,,,,,,
"Bloody Nose, Empty Pockets",Color Out of Space,Possessor Uncut,On the Rocks,Suspiria [restoration],Nomad: In the Footsteps of Bruce Chatwin,Apocalypse '45,Come to Daddy,The Beach House,Borat Subsequent Moviefilm,,,,,,,,,,
Aviva,Mank,Shithouse,Wolfwalkers,76 Days,The Vast of Night,We Are Little Zombies,Minari,Emma,Host,,,,,,,,,,
The Twentieth Century,Shirley,Da 5 Bloods,First Cow,"Bloody Nose, Empty Pockets",Lovers Rock,Time,The Painted Bird,Nomadland,Vitalina Varela,,,,,,,,,,
First Cow,"A White, White Day",The Grand Bizarre,THe Nest,Fourteen,"Red, White and Blue",Tenet,Dick Johnson Is Dead,Lovers Rock,The Old Guard,,,,,,,,,,
I'm Thinking of Ending Things,The Assistant,The Climb,First Cow,Fourteen,Nomadland,Time,Lovers Rock,Vitalina Varela,Beanpole,,,,,,,,,,
"I Was at Home, But …",Martin Eden,To the Ends of the Earth,Yourself and Yours,The Traitor,City Hall,Young Ahmed,The Grand Bizarre,Tommaso,The Day After I'm Gone,,,,,,,,,,
Kajillionaire,The Vast of Night,First Cow,Straight Up,Da 5 Bloods,Nomadland,The Invisible Man,Palm Springs,The Assistant,Mank,,,,,,,,,,
Martin Eden,"Bloody Nose, Empty Pockets",Never Rarely Sometimes Always,An Easy Girl,Mangrove,Cuties,Sibyl,Bacurau,Swallow,Sound of Metal,,,,,,,,,,
First Cow,Dick Johnson Is Dead,The Whistlers,Kajillionaire,"Bloody Nose, Empty Pockets",Lovers Rock,Ma Rainey's Black Bottom,Soul,Mank,Nomadland,,,,,,,,,,
"Bloody Nose, Empty Pockets",First Cow,The Assistant,"A White, White Day",I'm Thinking of Ending Things,Lovers Rock,The Grand Bizarre,Collective,Tesla,Mank,,,,,,,,,,
Nomadland,Never Rarely Sometimes Always,Shirley,The Assistant,Collective,Lovers Rock,First Cow,Possessor Uncut,"Bloody Nose, Empty Pockets",I'm Thinking of Ending Things,,,,,,,,,,
Nomadland,First Cow,Dick Johnson Is Dead,Time,Never Rarely Sometimes Always,She Dies Tomorrow,Minari,Black Bear,Beanpole,The Forty-Year-Old Version,,,,,,,,,,
Never Rarely Sometimes Always,The Vast of Night,Nomadland,The Forty-Year-Old Version,First Cow,Beanpole,Sound of Metal,Birds of Prey,I'm Thinking of Ending Things,Minari,,,,,,,,,,
Minari,Nomadland,Pieces of a Woman,Apples,New Order,Soul,Shirley,Promising Young Woman,Never Gonna Snow Again,Mank,,,,,,,,,,
Mank,Spree,News of the World,Promising Young Woman,Nomadland,Minari,One Night in Miami,On the Rocks,Ma Rainey's Black Bottom,Hillbilly Elegy,,,,,,,,,,
Nomadland,Minari,Bacurau,Never Rarely Sometimes Always,First Cow,On the Rocks,David Byrne's American Utopia,Boys State,Lovers Rock,Promising Young Woman,,,,,,,,,,
Beastie Boys Story,Promising Young Woman,Corpus Christi,Minari,News of the World,Nomadland,Hamilton,Synchronic,Mulan,Sound of Metal,Pieces of a Woman,One Night in Miami,,,,,,,,
Lovers Rock,Nomadland,Never Rarely Sometimes Always,Palm Springs,The Painter and the Thief,I'm Thinking of Ending Things,First Cow,Bacurau,City Hall,"Bloody Nose, Empty Pockets",,,,,,,,,,
Driveways,"A White, White Day",Dick Johnson Is Dead,Feels Good Man,Palm Springs,The Way Back,First Cow,The Assistant,Inconvenient Indian,Let Him Go,,,,,,,,,,
Da 5 Bloods,Collective,Lovers Rock,Nomadland,Never Rarely Sometimes Always,First Cow,David Byrne's American Utopia,"Bloody Nose, Empty Pockets",Martin Eden,The Climb,,,,,,,,,,
City Hall,The Woman Who Ran,Uncut Gems,Malmkrog,Love Affair(s),Hotel by the River,Dwelling in the Fuchun Mountains,The Salt of Tears,Enormous,The August Virgin,,,,,,,,,,
Mangrove,Dick Johnson Is Dead,Sound of Metal,Wolfwalkers,Nomadland,Palm Springs,Minari,The Painter and the Thief,Blood Quantum,Birds of Prey,,,,,,,,,,
First Cow,Nomadland,Never Rarely Sometimes Always,76 Days,Beanpole,Ma Rainey's Black Bottom,Wolfwalkers,Sound of Metal,Soul,Lovers Rock,,,,,,,,,,
Nomadland,Soul,The Trial of the Chicago 7,Minari,Promising Young Woman,Da 5 Bloods,Ma Rainey's Black Bottom,First Cow,Borat Subsequent Moviefilm,The Invisible Man,,,,,,,,,,
Nomadland,The Trial of the Chicago 7,News of the World,Soul,Da 5 Bloods,The Midnight Sky,Ma Rainey's Black Bottom,Saint Frances,Let Them All Talk,Palm Springs,,,,,,,,,,
Lovers Rock,First Cow,David Byrne's American Utopia,Nomadland,CIty So Real,Ma Rainey's Black Bottom,The Assistant,Mangrove,The Vast of Night,Never Rarely Sometimes Always,,,,,,,,,,
David Byrne's American Utopia,A Regular Woman,City Hall,Emma,Fireball: Visitors From Darker Worlds,Ma Rainey's Black Bottom,Miss Juneteenth,Never Rarely Sometimes Always,76 Days,The Vast of Night,,,,,,,,,,
Promising Young Woman,Mank,Soul,I'm Thinking of Ending Things,Ma Rainey's Black Bottom,Spontaneous,Sound of Metal,Blow the Man Down,The Social Dilemma,The Lodge,,,,,,,,,,
Soul,Tenet,News of the World,The Kid Detective,Promising Young Woman,Da 5 Bloods,One Night in Miami,The Trial of the Chicago 7,Borat Subsequent Moviefilm,Uncorked,,,,,,,,,,
Lovers Rock,Possessor Uncut,Mangrove,Da 5 Bloods,Never Rarely Sometimes Always,Nomadland,Shirley,The Forty-Year-Old Version,Host,I'm Thinking of Ending Things,,,,,,,,,,
Palm Springs,David Byrne's American Utopia,Nomadland,Promising Young Woman,Lovers Rock,News of the World,Minari,The Vast of Night,Sound of Metal,Mank,,,,,,,,,,
David Byrne's American Utopia,Relic,Birds of Prey,Hamilton,Shirley,Possessor Uncut,Sound of Metal,La Llorona,Palm Springs,Promising Young Woman,,,,,,,,,,
Nomadland,Sound of Metal,Promising Young Woman,Lovers Rock,Soul,Palm Springs,Minari,Time,Never Rarely Sometimes Always,The Painter and the Thief,,,,,,,,,,
Possessor Uncut,The Vast of Night,Sound of Metal,Da 5 Bloods,His House,Promising Young Woman,The Invisible Man,First Cow,Freaky,The Wolf of Snow Hollow,,,,,,,,,,
Nomadland,Palm Springs,The Platform,His House,Host,Spontaneous,Promising Young Woman,Birds of Prey,The Invisible Man,Hamilton,,,,,,,,,,
Da 5 Bloods,Bill & Ted Face the Music,The Invisible Man,Color Out of Space,Promising Young Woman,Possessor Uncut,His House,The Vast of Night,Freaky,Hunter Hunter,,,,,,,,,,
Palm Springs,I'm Thinking of Ending Things,Possessor Uncut,Promising Young Woman,Nomadland,Soul,Hamilton,Kajillionaire,On the Rocks,Black Bear,,,,,,,,,,
The Vast of Night,Color Out of Space,Zappa,Bill & Ted Face the Music,Onward,Happy Happy Joy Joy: The Ren & Stimpy Story,The Invisible Man,1BR,The Wretched,Wolfman's Got Nards,,,,,,,,,,
The Wolf of Snow Hollow,Happiest Season,The Invisible Man,Palm Springs,Scare Me,Bill & Ted Face the Music,Uncle Frank,Kajillionaire,The Way Back,Host,,,,,,,,,,
Promising Young Woman,Saint Maud,Da 5 Bloods,Palm Springs,The Gentlemen,Miss Juneteenth,Borat Subsequent Moviefilm,Charm City Kings,The Trial of the Chicago 7,Tenet,,,,,,,,,,
Lovers Rock,The Invisible Man,Minari,Da 5 Bloods,Palm Springs,Never Rarely Sometimes Always,Mangrove,Host,Birds of Prey,I'm Thinking of Ending Things,,,,,,,,,,
Lovers Rock,The Cloud in Her Room,The History of the Seattle Mariners,Fourteen,To the Ends of the Earth,Labyrinth of Cinema,The Inheritance,The Woman Who Ran,The Giverny Document,Beginning,,,,,,,,,,
Dick Johnson Is Dead,Minari,Nomadland,Borat Subsequent Moviefilm,Collective,Lovers Rock,Bacurau,Let Them All Talk,Black Bear,The Old Guard,,,,,,,,,,
Lovers Rock,I'm Thinking of Ending Things,Nomadland,Possessor Uncut,Promising Young Woman,Undine,Rocks,Never Rarely Sometimes Always,Summer of '85,Saint Maud,,,,,,,,,,
