The Power of the Dog,West Side Story,Belfast,Licorice Pizza,CODA,The Tragedy of Macbeth,The Lost Daughter,Dune,Summer of Soul,Drive My Car,The Worst Person in the World,,,,
The Lost Daughter,Licorice Pizza,Dune,The Souvenir Part II,Drive My Car,Barb & Star Go to Vista Del Mar,Luca,The Power of the Dog,The Hand of God,El Planeta,,,,,
The Worst Person in the World,The Beatles: Get Back,Licorice Pizza,The Souvenir Part II,The Truffle Hunters,Drive My Car,The Mitchells vs. The Machines,Petite Maman,The Humans,The Hand of God,,,,,
Bad Luck Banging or Loony Porn,Moffie,The Green Knight,Users,Licorice Pizza,Petite Maman,Drive My Car,The Novice,The Rescue,Cryptozoo,,,,,
The Power of the Dog,This Is Not a War Story,The Beatles: Get Back,Drive My Car,Pig,Lamb,Petite Maman,The First Wave,The Velvet Underground,The French Dispatch,,,,,
The Lost Daughter,Drive My Car,"All Light, Everywhere",Working Girls,Zola,Working for the Knife,The Card Counter,Respect,The Inheritance,Annette,,,,,
Bad Luck Banging or Loony Porn,Memoria,Exterminate All the Brutes,On the Royal Road: The Burgher King,Undine,Paris Calligrammes,Lower East Side Trilogy,Paths of Fire II,The Velvet Underground,Fire Music: The Story of Free Jazz,,,,,
(tie) In Front of Your Face,(tie) Introduction,The Round-Up,Ahed's Knee,Il Buco,Intregalde,Flee,Returning to Reims,Unclenching the Fists,Dog Star Descending,,,,,
The Power of the Dog,"Ken Jacobs Collection, Vol. 1",The Velvet Underground,Summer of Soul,Memoria,Petite Maman,Mr. Bachmann and His Class,Azor,The Dog Who Wouldn't Be Quiet,Souad,Cryptozoo,The Electrical Life of Louis Wain,The Bureau,,
Annette,Summer of Soul,Vortex,France,The Most Beautiful Boy in the World,Mandibles,Red Rocket,The Tragedy of Macbeth,Saint-Narcisse,The Onania Club [unreleased],,,,,
Spencer,The Killing of Two Lovers,The Power of the Dog,West Side Story,Stray,Dune,Belfast,Summer of Soul,Pig,Swan Song,,,,,
Drive My Car,"All Light, Everywhere",The Green Knight,The Souvenir Part II,Ascension,Titane,The Card Counter,The Humans,Zola,In the Earth,,,,,
C'mon C'mon,Judas and the Black Messiah,The Power of the Dog,The Humans,The Harder They Fall,"tick, tick...BOOM!",The Electrical Life of Louis Wain,Licorice Pizza,Dune,Silent Night,,,,,
Pig,C'mon C'mon,The Green Knight,The Last Duel,Raging Fire,Malignant,Limbo,Dune,The Power,The Power of the Dog,,,,,
Drive My Car,Wheel of Fortune and Fantasy,The Power of the Dog,Undine,Titane,The Hand of God,Billie Eilish: The World's a Little Blurry,Annette,The Souvenir Part II,Red Post on Escher Street,,,,,
Licorice Pizza,The Souvenir Part II,Titane,Red Rocket,Dune,Malignant,The Green Knight,The French Dispatch,Spencer,Benedetta,,,,,
Pig,The Mitchells vs. The Machines,Titane,Swan Song,Riders of Justice,Stray,Gaia,The Card Counter,Coming Home in the Dark,The Velvet Underground,,,,,
Pig,The Mitchells vs. The Machines,Mass,The Souvenir Part II,The Power of the Dog,Minari,Dune,The Killing of Two Lovers,The Humans,Red Rocket,,,,,
The Worst Person in the World,Licorice Pizza,Memoria,The Power of the Dog,The Green Knight,The Card Counter,Dune,Red Rocket,The Lost Daughter,The Souvenir Part II,,,,,
Bergman Island,Bad Luck Banging or Loony Porn,Licorice Pizza,About Endlessness,Barb & Star Go to Vista Del Mar,Annette,The French Dispatch,Wheel of Fortune and Fantasy,Memoria,Zola,,,,,
Memoria,Pig,The Killing of Two Lovers,French Exit,Annette,Enemies of the State,Petite Maman,The Power of the Dog,A Hero,No Sudden Move,,,,,
The French Dispatch,A Hero,West Side Story,The Disciple,Memoria,Red Rocket,Petite Maman,Procession,Violation,Days,,,,,
Licorice Pizza,The French Dispatch,West Side Story,Red Rocket,Titane,The Worst Person in the World,In the Heights,No Sudden Move,Spencer,The Green Knight,,,,,
Titane,Judas and the Black Messiah,Petite Maman,The French Dispatch,Summer of Soul,Night of the Kings,The Card Counter,Dune,The Green Knight,Bergman Island,,,,,
The French Dispatch,Red Rocket,Pig,West Side Story,A Hero,Bad Luck Banging or Loony Porn,The Power of the Dog,The Card Counter,Petite Maman,Nightmare Alley,,,,,
Memoria,Licorice Pizza,The Velvet Underground,The French Dispatch,The Souvenir Part II,Red Rocket,Slow Machine,Wheel of Fortune and Fantasy,Bad Luck Banging or Loony Porn,Pig,,,,,
The Power of the Dog,Petite Maman,Licorice Pizza,Summer of Soul,Wheel of Fortune and Fantasy,The Green Knight,"This Is Not a Burial, It's a Resurrection",The Card Counter,Zola,A Hero,,,,,
