Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Peter Travers,Da 5 Bloods,Nomadland,Lovers Rock,The Trial of the Chicago 7,First Cow,Mank,Never Rarely Sometimes Always,Minari,Ma Rainey's Black Bottom,Tenet
Bill Goodykoontz,I'm Thinking of Ending Things,First Cow,Never Rarely Sometimes Always,Soul,Beastie Boys Story,Da 5 Bloods,The Trial of the Chicago 7,Ma Rainey's Black Bottom,Relic,Boys State
Philip Martin,Nomadland,Minari,Driveways,Sound of Metal,First Cow,Saint Frances,I'm Thinking of Ending Things,Collective,Never Rarely Sometimes Always,The Assistant
Erika Balsom,"(tie) ""Defiant Muses"" / ""Out of the Shadows""",The Year of the Discovery,Days,Route One/USA,First Cow,Apiyemiyekî?,(Forum 50 Anniversary Program),The Works and Days,"Malni - Towards The Ocean, Towards The Shore",La Loupe
Cassie da Costa,Shakedown,Beau Travail (re-release),Fourteen,The Assistant,Advocate,Empty Metal,Uncut Gems,Harriet,The Hottest August,Atlantics
James Quandt,The Woman Who Ran,Days,The Year of the Discovery,Xiao Wu,A Night at the Opera,The Monopoly of Violence,Malmkrog,Notturno,While Cursed by Specters,Gunda
Amy Taubin,"(The handy, affordable-to-everyone moving-image camera)",I May Destroy You (HBO),Preparations to Be Together for an Unknown Period of Time,Time,America,Gunda,Never Rarely Sometimes Always,Tesla,David Byrne's American Utopia,Da 5 Bloods,The Monopoly of Violence,MLK/FBI,Collective,Coded Bias
John Waters,Butt Boy,Swallow,The Hunt,Why Don't You Just Die!,The Audition,Deerskin,The Human Voice,True History of the Kelly Gang,American Muder: The Family Next Door,Mangrove,The Trial of the Chicago 7
Alex Biese,Da 5 Bloods,On-Gaku: Our Sound,Shirley,Palm Springs,The Invisible Man,Ma Rainey's Black Bottom,Hamilton,A Secret Love,The Godfather Coda,First Cow
Lindsey Bahr,Nomadland,Kajillionaire,Lovers Rock,Collective,Mank,On the Rocks,Tenet,Never Rarely Sometimes Always,Promising Young Woman,Eurovision: The Story of Fire Saga
Jake Coyle,First Cow,Small Axe,Mank,Dick Johnson Is Dead,Minari,David Byrne's American Utopia,Never Rarely Sometimes Always,Soul,Collective,Sound of Metal
David Sims,First Cow,Lovers Rock,The Nest,I'm Thinking of Ending Things,Mank,Nomadland,Bacurau,Tenet,Never Rarely Sometimes Always,Da 5 Bloods
Eric Webb,And Then We Danced,Time,Dick Johnson Is Dead,Nomadland,"Yes, God, Yes",Minari,What the Constitution Means to Me,Promising Young Woman,Da 5 Bloods,Extra Ordinary
Marjorie Baumgarten,Never Rarely Sometimes Always,First Cow,Lovers Rock,Mangrove,David Byrne's American Utopia,Borat Subsequent Moviefilm,City Hall,Da 5 Bloods,One Night in Miami,Nomadland
Steve Davis,Mank,Nomadland,Black Bear,Dick Johnson Is Dead,Emma,Never Rarely Sometimes Always,My Octopus Teacher,I'm Thinking of Ending Things,David Byrne's American Utopia,Possessor Uncut
Josh Kupecki,City Hall,Collective,First Cow,Kajillionaire,Possessor Uncut,Beanpole,Swallow,The Whistlers,The Assistant,"Bloody Nose, Empty Pockets"
Matthew Monagle,The Lodge,Emma,Fourteen,Relic,Gamemaster,Mephisto [restoration],Detention,Gretel & Hansel,The Old Guard,The New Mutants
Jenny Nulf,Fallen Angels [restoration],Undine,First Cow,I'm Thinking of Ending Things,Bacurau,Nomadland,Lovers Rock,Minari,Another Round,The Woman Who Ran
Marc Savlov,"Bloody Nose, Empty Pockets",Color Out of Space,Possessor Uncut,On the Rocks,Suspiria [restoration],Nomad: In the Footsteps of Bruce Chatwin,Apocalypse '45,Come to Daddy,The Beach House,Borat Subsequent Moviefilm
